Timestamp,Object,Risk Level,Risk Score
2026-05-07 21:28:36,person,HIGH RISK,1.6871
2026-05-07 21:28:38,person,HIGH RISK,2.2968
2026-05-07 21:28:40,person,HIGH RISK,2.3211
2026-05-07 21:28:42,person,HIGH RISK,2.2806
2026-05-07 21:28:44,person,HIGH RISK,2.3160
2026-05-07 21:28:46,person,HIGH RISK,2.2825
2026-05-07 21:28:49,bed,MEDIUM RISK,0.1680
2026-05-07 21:28:51,clock,LOW RISK,0.0090
2026-05-07 21:28:53,clock,LOW RISK,0.0083
2026-05-07 21:28:56,clock,LOW RISK,0.0082
2026-05-07 21:28:58,person,HIGH RISK,2.2210
2026-05-07 21:29:01,tie,MEDIUM RISK,0.1729
2026-05-07 21:29:03,person,HIGH RISK,0.6566
2026-05-07 21:29:06,person,HIGH RISK,2.9767
2026-05-07 21:29:09,umbrella,MEDIUM RISK,0.1923
2026-05-07 21:29:11,person,HIGH RISK,2.9423
2026-05-07 21:29:13,person,HIGH RISK,2.9214
2026-05-07 21:29:15,person,HIGH RISK,2.8295
2026-05-07 21:29:18,scissors,HIGH RISK,0.7685
2026-05-07 21:29:21,tie,MEDIUM RISK,0.1731
2026-05-07 21:29:23,tie,MEDIUM RISK,0.1775
2026-05-07 21:29:25,tie,MEDIUM RISK,0.1698
2026-05-07 21:29:27,tie,MEDIUM RISK,0.1803
2026-05-07 21:29:30,person,HIGH RISK,0.5015
2026-05-07 21:29:32,tennis racket,HIGH RISK,0.2494
2026-05-07 21:29:34,couch,MEDIUM RISK,0.1658
2026-05-07 21:29:36,couch,MEDIUM RISK,0.1739
2026-05-07 21:29:39,couch,MEDIUM RISK,0.1544
2026-05-07 21:29:41,couch,MEDIUM RISK,0.1518
2026-05-07 21:29:43,teddy bear,MEDIUM RISK,0.0533
2026-05-07 21:29:45,bottle,LOW RISK,0.0150
2026-05-07 21:29:47,vase,HIGH RISK,0.3924
2026-05-07 21:29:49,chair,HIGH RISK,0.2442
2026-05-07 21:29:51,bed,HIGH RISK,0.9837
2026-05-07 21:29:53,person,HIGH RISK,0.8890
2026-05-07 21:29:55,person,HIGH RISK,0.8390
